datum_zeit;timestamp_text;o3_ug_m3;no2_ug_m3;pm10_ug_m3;pm2_5_ug_m3;cpc_1_cm3;ec_ug_m3;prec_mm;rad_w_m2;so2_ug_m3;nox_ug_m3_eq_no2;temp_c
2025-06-30T02:00:00+02:00;30.06.2025 01:00;62.9;6.9;7.8;5.7;5751.6;0.2;0.0;0.0;0.3;7.4;21.2
2025-06-30T05:00:00+02:00;30.06.2025 04:00;55.7;8.8;8.8;6.5;5658.6;0.2;0.0;0.0;0.3;9.4;19.1
2025-06-30T07:00:00+02:00;30.06.2025 06:00;47.0;11.6;10.7;7.2;6549.7;0.3;0.0;72.7;0.3;13.1;19.3
2025-06-30T09:00:00+02:00;30.06.2025 08:00;74.2;10.7;11.7;8.1;7473.8;0.3;0.0;385.5;0.7;13.0;23.8
2025-06-30T11:00:00+02:00;30.06.2025 10:00;108.4;12.1;15.8;10.0;10694.6;0.3;0.0;689.7;0.8;13.7;28.4
2025-06-30T15:00:00+02:00;30.06.2025 14:00;148.2;6.6;16.9;12.2;8662.2;0.3;0.0;895.0;0.6;7.3;32.4
2025-06-30T20:00:00+02:00;30.06.2025 19:00;121.7;3.6;14.8;11.1;5473.4;0.2;0.0;312.5;0.3;4.0;32.3
2025-06-30T21:00:00+02:00;30.06.2025 20:00;112.5;6.6;16.5;9.5;4327.3;0.1;0.0;58.5;0.2;7.0;30.2
2025-06-30T23:00:00+02:00;30.06.2025 22:00;90.3;10.9;14.8;10.9;7127.7;0.2;0.0;0.0;1.1;11.2;26.3
2025-06-30T01:00:00+02:00;30.06.2025 00:00;70.3;7.0;7.8;5.6;5788.2;0.2;0.0;0.0;0.4;7.2;22.5
2025-06-30T04:00:00+02:00;30.06.2025 03:00;54.0;7.9;8.5;6.1;5482.5;0.2;0.0;0.0;0.2;8.7;19.4
2025-06-30T10:00:00+02:00;30.06.2025 09:00;83.5;18.7;15.6;9.2;9618.0;0.4;0.0;542.0;0.8;23.1;26.5
2025-06-30T14:00:00+02:00;30.06.2025 13:00;147.0;7.9;17.0;11.7;11176.9;0.3;0.0;892.8;0.8;8.7;32.0
2025-06-30T18:00:00+02:00;30.06.2025 17:00;151.0;5.1;15.2;10.6;7565.8;0.2;0.0;593.5;0.5;5.5;33.9
2025-06-30T19:00:00+02:00;30.06.2025 18:00;155.1;4.9;23.9;12.0;7442.8;0.3;0.0;453.3;0.5;5.6;33.4
2025-06-30T22:00:00+02:00;30.06.2025 21:00;105.0;8.9;15.2;10.5;6221.0;0.6;0.0;2.0;1.3;9.2;27.5
2025-06-30T00:00:00+02:00;29.06.2025 23:00;76.4;7.1;8.7;5.6;6428.0;0.2;0.0;0.0;0.4;7.4;23.6
2025-06-30T03:00:00+02:00;30.06.2025 02:00;59.0;7.7;8.5;5.8;5466.4;0.2;0.0;0.0;0.2;8.1;20.2
2025-06-30T06:00:00+02:00;30.06.2025 05:00;50.1;8.5;9.0;6.6;5582.0;0.2;0.0;4.3;0.3;9.2;18.8
2025-06-30T08:00:00+02:00;30.06.2025 07:00;55.1;11.1;12.1;7.7;7134.1;0.4;0.0;226.0;0.5;13.0;21.4
2025-06-30T12:00:00+02:00;30.06.2025 11:00;127.5;10.6;18.0;11.4;11094.4;0.4;0.0;803.2;0.8;11.8;29.8
2025-06-30T13:00:00+02:00;30.06.2025 12:00;145.8;9.4;18.7;12.4;11162.8;0.3;0.0;832.2;0.8;10.2;30.8
2025-06-30T16:00:00+02:00;30.06.2025 15:00;150.2;6.3;16.9;11.5;7950.8;0.3;0.0;817.2;0.6;7.0;33.4
2025-06-30T17:00:00+02:00;30.06.2025 16:00;149.4;5.2;16.8;10.8;7629.4;0.2;0.0;762.0;0.5;6.1;33.8
